threshold,Accuracy,F1,AUC,APCER,BPCER,ACER,TN,FP,FN,TP
0.52,0.871536523929471,0.8610354223433242,0.9590531519135708,0.15053763440860216,0.10900473933649289,0.12977118687254752,188,23,28,158
0.53,0.8690176322418136,0.8579234972677595,0.9590531519135708,0.15591397849462366,0.10900473933649289,0.13245935891555827,188,23,29,157
0.54,0.8664987405541562,0.8539944903581267,0.9590531519135708,0.16666666666666666,0.10426540284360189,0.13546603475513427,189,22,31,155
0.55,0.8690176322418136,0.856353591160221,0.9590531519135708,0.16666666666666666,0.0995260663507109,0.13309636650868878,190,21,31,155
0.56,0.8664987405541562,0.853185595567867,0.9590531519135708,0.17204301075268819,0.0995260663507109,0.13578453855169953,190,21,32,154
0.57,0.8690176322418136,0.8547486033519553,0.9590531519135708,0.1774193548387097,0.09004739336492891,0.1337333741018193,192,19,33,153
0.58,0.871536523929471,0.8571428571428571,0.9590531519135708,0.1774193548387097,0.08530805687203792,0.1313637058553738,193,18,33,153
0.59,0.871536523929471,0.8555240793201133,0.9590531519135708,0.1881720430107527,0.07582938388625593,0.1320007134485043,195,16,35,151
0.6,0.8740554156171285,0.8571428571428571,0.9590531519135708,0.1935483870967742,0.06635071090047394,0.12994954899862407,197,14,36,150
0.61,0.871536523929471,0.8530259365994236,0.9590531519135708,0.20430107526881722,0.061611374407582936,0.13295622483820008,198,13,38,148
0.62,0.8664987405541562,0.8454810495626822,0.9590531519135708,0.22043010752688172,0.05687203791469194,0.13865107272078683,199,12,41,145
0.63,0.8614609571788413,0.8387096774193549,0.9590531519135708,0.23118279569892472,0.05687203791469194,0.14402741680680833,199,12,43,143
0.64,0.8564231738035264,0.831858407079646,0.9590531519135708,0.24193548387096775,0.05687203791469194,0.14940376089282983,199,12,45,141
0.65,0.8589420654911839,0.834319526627219,0.9590531519135708,0.24193548387096775,0.052132701421800945,0.14703409264638434,200,11,45,141
0.66,0.8564231738035264,0.8308605341246291,0.9590531519135708,0.24731182795698925,0.052132701421800945,0.1497222646893951,200,11,46,140
0.67,0.8564231738035264,0.8298507462686567,0.9590531519135708,0.25268817204301075,0.04739336492890995,0.15004076848596035,201,10,47,139
0.68,0.8513853904282116,0.8217522658610272,0.9590531519135708,0.26881720430107525,0.04265402843601896,0.1557356163685471,202,9,50,136
0.69,0.8438287153652393,0.8109756097560976,0.9590531519135708,0.2849462365591398,0.04265402843601896,0.16380013249757938,202,9,53,133
0.7,0.8413098236775819,0.8061538461538461,0.9590531519135708,0.2956989247311828,0.037914691943127965,0.1668068083371554,203,8,55,131
0.71,0.8387909319899244,0.8024691358024691,0.9590531519135708,0.3010752688172043,0.037914691943127965,0.16949498038016614,203,8,56,130
0.72,0.8337531486146096,0.79375,0.9590531519135708,0.3172043010752688,0.03317535545023697,0.1751898282627529,204,7,59,127
0.73,0.8236775818639799,0.7784810126582279,0.9590531519135708,0.3387096774193548,0.03317535545023697,0.1859425164347959,204,7,63,123
0.74,0.8261964735516373,0.780952380952381,0.9590531519135708,0.3387096774193548,0.02843601895734597,0.1835728481883504,205,6,63,123
0.75,0.8211586901763224,0.7731629392971247,0.9590531519135708,0.34946236559139787,0.02843601895734597,0.18894919227437193,205,6,65,121
0.76,0.818639798488665,0.7692307692307693,0.9590531519135708,0.3548387096774194,0.02843601895734597,0.19163736431738268,205,6,66,120
0.77,0.818639798488665,0.7677419354838709,0.9590531519135708,0.3602150537634409,0.023696682464454975,0.19195586811394794,206,5,67,119
0.78,0.8110831234256927,0.7540983606557377,0.9590531519135708,0.3817204301075269,0.018957345971563982,0.20033888803954542,207,4,71,115
0.79,0.8035264483627204,0.7417218543046358,0.9590531519135708,0.3978494623655914,0.018957345971563982,0.20840340416857767,207,4,74,112
0.8,0.801007556675063,0.7375415282392026,0.9590531519135708,0.4032258064516129,0.018957345971563982,0.21109157621158842,207,4,75,111
0.81,0.7984886649874056,0.7333333333333333,0.9590531519135708,0.40860215053763443,0.018957345971563982,0.21377974825459922,207,4,76,110
0.82,0.7858942065491183,0.7098976109215017,0.9590531519135708,0.44086021505376344,0.014218009478672985,0.2275391122662182,208,3,82,104
0.83,0.7884130982367759,0.7103448275862069,0.9590531519135708,0.44623655913978494,0.004739336492890996,0.22548794781633796,210,1,83,103
0.84,0.783375314861461,0.7013888888888888,0.9590531519135708,0.45698924731182794,0.004739336492890996,0.23086429190235946,210,1,85,101
0.85,0.7682619647355163,0.6737588652482269,0.9590531519135708,0.489247311827957,0.004739336492890996,0.246993324160424,210,1,91,95
0.86,0.7556675062972292,0.6498194945848376,0.9590531519135708,0.5161290322580645,0.004739336492890996,0.2604341843754778,210,1,96,90
0.87,0.7481108312342569,0.635036496350365,0.9590531519135708,0.532258064516129,0.004739336492890996,0.26849870050451,210,1,99,87
0.88,0.7405541561712846,0.6199261992619927,0.9590531519135708,0.5483870967741935,0.004739336492890996,0.2765632166335423,210,1,102,84
0.89,0.72544080604534,0.5886792452830188,0.9590531519135708,0.5806451612903226,0.004739336492890996,0.29269224889160683,210,1,108,78
0.9,0.7153652392947103,0.5637065637065637,0.9590531519135708,0.6075268817204301,0.0,0.30376344086021506,211,0,113,73
0.91,0.7153652392947103,0.5637065637065637,0.9590531519135708,0.6075268817204301,0.0,0.30376344086021506,211,0,113,73
0.92,0.6952141057934509,0.5179282868525896,0.9590531519135708,0.6505376344086021,0.0,0.32526881720430106,211,0,121,65
0.93,0.6851385390428212,0.4939271255060729,0.9590531519135708,0.6720430107526881,0.0,0.33602150537634407,211,0,125,61
0.94,0.6624685138539043,0.4369747899159664,0.9590531519135708,0.7204301075268817,0.0,0.3602150537634409,211,0,134,52
0.95,0.6372795969773299,0.3684210526315789,0.9590531519135708,0.7741935483870968,0.0,0.3870967741935484,211,0,144,42
0.96,0.6246851385390428,0.33183856502242154,0.9590531519135708,0.8010752688172043,0.0,0.40053763440860213,211,0,149,37
0.97,0.5969773299748111,0.24528301886792453,0.9590531519135708,0.8602150537634409,0.0,0.43010752688172044,211,0,160,26
0.98,0.5692695214105793,0.14925373134328357,0.9590531519135708,0.9193548387096774,0.0,0.4596774193548387,211,0,171,15
0.99,0.5491183879093199,0.07253886010362694,0.9590531519135708,0.9623655913978495,0.0,0.48118279569892475,211,0,179,7
